Название;Цена;Город;Дата размещения;Ссылка на фото;Ссылка на страницу
iPhone X;24 000 ;Калининградская область, Калининград;5 июля 15:33;https://36.img.avito.st/208x156/8878684236.jpg;https://www.avito.ru/rossiya/kaliningrad/telefony/iphone_x_1951407402?slocation=621540
iPhone 10 x;40 000 ;Московская область, г.о. Солнечногорск, д. Тимоново;5 июля 18:51;https://21.img.avito.st/208x156/8879723821.jpg;https://www.avito.ru/rossiya/solnechnogorsk/telefony/iphone_10_x_1955634839?slocation=621540
iPhone X 64GB;32 000 ;Москва;5 июля 16:04;https://84.img.avito.st/208x156/8878919584.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_64gb_1926685438?slocation=621540
iPhone 7, Xr, X, 8, 8+,6s, 6, SE, 5s, 5, 4s;2 990 ;Нижегородская область, Нижний Новгород;5 июля 19:45;https://20.img.avito.st/208x156/7901434620.jpg;https://www.avito.ru/rossiya/nizhniy_novgorod/telefony/iphone_7_xr_x_8_86s_6_se_5s_5_4s_1781305111
iPhone X;29 500 ;Санкт-Петербург;5 июля 12:25;https://01.img.avito.st/208x156/8877724601.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_1970574766?slocation=621540
iPhone X Silver 64Гб;31 000 ;Нижегородская область, Нижний Новгород;5 июля 18:08;https://72.img.avito.st/208x156/8879590972.jpg;https://www.avito.ru/rossiya/nizhniy_novgorod/telefony/iphone_x_silver_64gb_1954440947?slocation=621540
iPhone X (256GB) Новый;30 500 ;Москва;5 июля 15:19;https://59.img.avito.st/208x156/8878457759.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_256gb_novyy_1964315743?slocation=621540
iPhone X 64gb;30 000 ;Москва;5 июля 16:55;https://02.img.avito.st/208x156/8719835202.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_64gb_1937290367?slocation=621540
iPhone X;20 000 ;Москва;5 июля 18:49;https://84.img.avito.st/208x156/8879481784.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_1973033667?slocation=621540
iPhone X 64;27 500 ;Чеченская Республика, Гудермесский р-н, Гудермес;5 июля 17:30;https://03.img.avito.st/208x156/8870920703.jpg;https://www.avito.ru/rossiya/gudermes/telefony/iphone_x_64_1967067973?slocation=621540
